Sample;Este (X);Norte (Y);Altura (Z);Litología;Productividad;Método;Ag_ppm;Al_pct;As_ppm;Ba_ppm;Be_ppm;Bi_ppm;Ca_pct;Cd_ppm;Ce_ppm;Co_ppm;Cr_ppm;Cs_ppm;Cu_ppm;Fe_pct;Ga_ppm;Hf_ppm;In_ppm;K_pct;La_ppm;Li_ppm;Mg_pct;Mn_ppm;Mo_ppm;Na_pct;Nb_ppm;Ni_ppm;P_pct;Pb_ppm;Rb_ppm;Re_ppm;S_pct;Sb_ppm;Sc_ppm;Se_ppm;Sr_ppm;Ta_ppm;Te_ppm;Th_ppm;Ti_pct;Tl_ppm;U_ppm;V_ppm;W_ppm;Y_ppm;Zn_ppm;Zr_ppm
PA-04;992148.2;1104706.6;519.84;Brecha;Productiva;AQ252;0.083;0.05;15.1;38.6;0.05;0.3;15.94;6.77;21.2;13.5;1.4;0.03;14.89;3.44;0.2;0.01;0.01;0.01;10.6;0.4;0.95;657;0.79;0.042;0.01;16.8;0.047;3.95;0.5;0.002;3.39;0.71;4.8;0.2;56.3;0.025;0.02;4.2;0.0005;0.01;1.9;1;0.05;14.47;149.5;0.05
PA-06;992099.7;1104745.7;604.2;Brecha;Productiva;AQ252;0.064;0.05;21.9;21.8;0.2;0.78;5.5;0.96;26;17.3;2.9;0.02;10.69;3.2;0.3;0.01;0.01;0.005;13.4;0.9;1.92;543;1.37;0.031;0.01;24.1;0.099;2.49;0.4;0.001;3.21;1.02;3.4;0.05;17.7;0.025;0.05;7.1;0.0005;0.01;1.2;4;0.05;6.57;42.8;0.05
PA-33;992132.547;1104684.67;522.09;Brecha;Productiva;MA250;0.267;7.36;67.6;860;1;2.34;1.91;2.01;7.53;14.8;18;0.05;16.6;3.46;20.5;0.01;0.02;0.06;3;0.7;0.46;150;4.27;7.259;1.52;41.9;0.208;8.74;2;0.003;0.64;3.65;1.8;0.8;46;0.1;0.14;7;0.052;0.24;1.8;32;0.1;7.9;138.3;0.3
PA-34;992132.5471;1104684.67;522.09;Brecha;Productiva;MA250;0.188;6.55;47.3;337;1;1.81;3.65;3.62;20.86;14.7;6;0.05;11.7;2.36;16.05;0.01;0.02;0.03;9.4;0.7;0.92;316;2.95;7.373;1.64;48.1;0.213;6.14;0.2;0.004;0.71;2.8;1.6;0.9;43;0.1;0.2;7.9;0.052;0.12;1.6;11;0.2;7.1;217.3;0.2
PA-38;992148.945;1104712.24;514.81;Brecha;Productiva;MA250;0.079;1.94;32.3;9;0.5;0.25;23.75;6.39;20.32;12.5;6;0.05;13.5;4.99;4.56;0.02;0.07;0.04;7.3;1.8;1.61;1053;0.62;1.564;1.05;31.7;0.037;4.78;2.4;0.003;2.31;1.74;5.7;0.8;106;0.05;4.03;1.4;0.029;0.025;1.6;16;0.2;30.8;117.6;0.5
PA-56;992105.584;1104624.84;489.61;Brecha;Productiva;MA250;0.09;4.01;26.6;80;1;0.31;18.05;7.28;33.29;15;15;0.3;7.2;2.62;11.43;0.05;0.02;0.26;14.9;5.5;1.67;780;2.01;0.2929;2.25;27;0.095;2.61;11.9;0.01;1.11;0.8;20.8;0.8;123;0.2;3.73;3.7;0.069;0.09;3.7;82;0.3;39.8;176.7;3.3
PA-82;992144.50;1104704.35;526.87;Brecha;Productiva;MA250;0.203;2.16;81.7;27;2;0.18;17.15;1.27;209.34;30.9;18;0.2;6.3;6.92;14.51;0.01;0.005;0.9;99.4;5.3;5.83;1077;2.64;0.334;0.43;107.5;0.046;1.62;30.1;0.004;2.9;0.39;33.3;2.5;76;0.05;5.18;4;0.024;0.05;0.7;223;0.1;20.5;75.6;0.4
RC-000754;991694.410;1103164.71;712.23;Brecha;Productiva;ME-MS61;0.005;9.27;4.9;10;0.77;0.03;0.48;0.39;34.5;1.1;16;0.14;1.7;0.47;12.95;0.2;0.085;0.17;17.9;29.9;0.02;90;19.65;7.58;8.5;6.9;230;0.9;7.9;0.014;0.15;0.68;1.3;1;47.9;0.55;0.025;10.1;0.244;0.07;4.2;93;2.4;2.1;9;5.6
RC-000755;991693.530;1103164.65;711.34;Brecha;Productiva;ME-MS61;0.005;11;25;130;2.18;0.17;0.34;0.46;44.3;8.8;57;1.61;2.5;1.26;28;0.3;0.028;1.52;21.6;12.1;0.06;35;48.5;5.92;15;41.2;630;1.3;70.5;0.031;1.32;1.61;11.4;4;50.2;1.01;0.025;11.25;0.427;0.38;3.9;536;2.9;3.2;15;8.2
RC-000756;991691.940;1103164.54;709.75;Brecha;Productiva;ME-MS61;0.005;8.95;3;40;0.79;0.05;0.31;0.55;117.5;0.7;43;0.33;1.2;0.34;16.55;0.2;0.029;0.42;62.4;6.7;0.03;50;31.7;7.32;11.5;4.9;320;0.9;18.7;0.018;0.1;0.76;2.6;0.5;46.5;0.78;0.025;13.35;0.318;0.13;3.7;239;4.3;2.6;9;5.3
RC-000757;991690.570;1103164.44;708.37;Brecha;Productiva;ME-MS61;0.02;9.12;4.3;30;0.42;0.09;0.24;0.48;11.5;1.2;8;0.06;2.2;0.45;12.8;0.1;0.023;0.02;5.6;1.6;0.01;55;16.8;8.17;6.1;6.7;50;0.9;0.4;0.011;0.19;0.91;0.2;1;45.1;0.41;0.025;6.06;0.163;0.06;2;21;5.3;1;5;4.3
RC-000758;991689.350;1103164.36;707.16;Brecha;Productiva;ME-MS61;0.02;10.3;4.8;160;2.12;0.03;0.21;0.66;2.74;0.8;91;1.58;1.4;0.39;27.8;0.2;0.033;1.36;1.3;9.2;0.05;41;76.3;6.16;17.4;8.2;150;1.4;61.6;0.071;0.16;1.11;7.5;1;54;1.13;0.025;19.1;0.499;0.3;5.9;743;7;1.2;15;6.3
RC-000759;991687.800;1103164.25;705.6;Brecha;Productiva;ME-MS61;0.01;10.05;6.8;120;1.57;0.04;0.24;0.47;165;1.3;69;0.96;1.7;0.43;23.8;0.2;0.031;0.94;89.8;8.4;0.04;39;48.3;6.67;13.6;9.7;370;1.2;44.7;0.052;0.21;0.98;5.1;1;51.9;0.89;0.025;17.35;0.384;0.26;5.2;510;3.9;2.7;17;4.9
RC-000761;991685.310;1103164.78;703.11;Brecha;Productiva;ME-MS61;0.005;11.4;6.6;190;1.58;0.04;0.6;0.85;4.74;1.5;85;1.6;2.8;0.65;29.1;0.2;0.025;1.63;2.2;4.3;0.06;73;64.3;5.99;13;12.3;1250;1.1;80.4;0.051;0.22;0.94;7.9;2;52.1;0.86;0.025;14.5;0.358;0.39;5;851;2.3;3.3;29;5.3
RC-000762;991683.610;1103163.92;700.84;Brecha;Productiva;ME-MS61;0.005;9.85;2.6;110;1;0.03;0.25;0.56;7.39;0.6;119;0.88;1.7;0.31;22.6;0.2;0.02;1.12;4.1;5;0.04;27;70.4;6.36;17;6.5;300;1.1;57.8;0.07;0.11;0.76;5;1;47.1;1.12;0.025;17.3;0.496;0.32;5.2;669;4.8;1.4;17;6.9
RC-000763;991681.680;1103163.82;699.47;Brecha;Productiva;ME-MS61;0.02;9.54;3;120;1.33;0.03;0.29;0.56;12.9;0.7;99;0.78;1.8;0.35;22.4;0.1;0.034;1.09;6.8;5.8;0.04;53;81.7;7.01;17.1;7;180;1.2;50.5;0.074;0.1;0.81;5.6;0.5;47.1;1.1;0.025;16.1;0.51;0.24;5.2;640;5.2;1.4;19;4.8
RC-000764;991680.130;1103163.71;697.91;Brecha;Productiva;ME-MS61;0.03;10.6;34.3;130;1.55;0.23;0.35;0.7;52.7;10.8;79;0.88;10.5;2.01;23.3;0.1;0.025;1;27.2;5.4;0.04;31;64.9;6.69;12.5;55.6;740;1.8;45.8;0.041;2.11;1.64;7.5;5;53.2;0.86;0.025;13.65;0.384;0.36;3.9;403;3.1;3.2;19;4.6
RC-000765;991678.580;1103163.6;696.35;Brecha;Productiva;ME-MS61;0.04;10.45;24.7;80;1.55;0.53;0.26;0.37;49.5;6.2;71;0.68;5.5;1.11;25.1;0.2;0.017;0.9;25.9;2.6;0.03;25;50.5;6.98;17;31.8;420;2.2;40.7;0.022;1.12;1.87;8.3;3;53.6;1.08;0.07;11.85;0.477;0.31;3;377;2.3;2.7;11;5.4
RC-000766;991677.550;1103163.53;695.33;Brecha;Productiva;ME-MS61;0.01;9.93;7;60;0.99;0.07;0.55;0.34;116.5;2.7;53;0.22;1.7;1.07;18;0.2;0.031;0.51;62.7;6.9;0.03;159;38;7.24;12.3;12.5;190;1;22.8;0.02;0.43;0.76;2.9;1;54.5;0.81;0.025;11;0.401;0.11;3.5;258;6.3;3;10;5.5
RC-000767;991676.460;1103163.45;694.23;Brecha;Productiva;ME-MS61;0.02;9;1.8;40;0.73;0.01;0.52;0.3;12.15;0.4;16;0.07;1.9;0.34;14.15;0.1;0.046;0.03;6.1;18.8;0.01;96;30.1;8.05;8.2;4.2;340;0.7;0.7;0.018;0.05;0.63;0.2;0.5;52.2;0.52;0.025;18.85;0.253;0.02;5.4;25;6.6;1.7;8;2.1
RC-000768;991675.100;1103163.36;692.87;Brecha;Productiva;ME-MS61;0.01;9.07;1.2;20;0.69;0.02;0.6;0.3;8.42;0.4;14;0.06;1;0.31;13.35;0.1;0.037;0.03;4.1;7.2;0.02;65;21.8;8.05;7.2;2.5;600;0.8;0.6;0.014;0.05;0.47;0.3;0.5;49.8;0.49;0.025;16;0.236;0.02;4.3;25;4.3;2.7;11;2.1
RC-000769;991673.940;1103163.28;691.7;Brecha;Productiva;ME-MS61;0.02;9;16;10;0.63;0.12;0.43;0.38;15;3.9;20;0.09;2.4;0.89;12.7;0.1;0.029;0.07;7.3;9.1;0.01;79;27.2;7.91;9.9;18.6;170;1.7;2.6;0.018;0.68;0.94;0.4;2;52.8;0.7;0.025;13.95;0.295;0.04;5;52;9.1;1.8;14;3.5
RC-000770;991672.650;1103163.19;690.41;Brecha;Productiva;ME-MS61;0.02;8.31;1.8;20;0.38;0.03;0.29;0.35;6.93;0.4;12;0.07;2.6;0.3;11.2;0.1;0.027;0.03;3.8;11.9;0.01;58;23.6;8.17;6.7;3.6;50;0.7;0.7;0.021;0.07;0.5;0.2;0.5;47.3;0.45;0.025;4.9;0.211;0.05;1.6;18;2.6;0.9;7;4.1
RC-000771;991671.310;1103163.99;689.7;Brecha;Productiva;ME-MS61;0.02;8.39;2.1;20;0.43;0.02;0.19;0.27;5.12;0.5;16;0.06;2;0.23;11.8;0.2;0.013;0.03;3;5.1;0.01;31;24.8;8.41;9;3.5;60;0.6;0.7;0.02;0.08;0.57;0.2;0.5;50;0.59;0.025;6.1;0.302;0.03;1.9;23;3;0.9;6;5.4
RC-000772;991670.540;1103163.45;688.29;Brecha;Productiva;ME-MS61;0.01;8.71;1.5;10;0.45;0.02;0.24;0.38;5.37;0.4;17;0.05;1.4;0.23;12.7;0.2;0.016;0.04;3.5;5.9;0.01;34;27.8;8.44;13.1;3.5;150;0.7;1.2;0.014;0.07;0.49;0.3;0.5;55.3;0.84;0.025;9.19;0.395;0.02;3;30;2.4;1.2;6;7.8
RC-000773;991669.240;1103162.93;686.77;Brecha;Productiva;ME-MS61;0.01;9.19;2.9;50;0.59;0.03;0.44;0.66;6.1;0.7;49;0.31;1.9;0.38;16.35;0.2;0.032;0.4;3.6;13.1;0.03;77;35.6;7.87;15.1;5.5;210;0.9;20.4;0.025;0.11;0.69;1.9;0.5;55.8;0.99;0.025;12.4;0.43;0.12;3.3;165;2.9;2.3;19;6
RC-000774;991667.150;1103162.8;684.9;Brecha;Productiva;ME-MS61;0.02;8.61;1.8;30;0.44;0.03;0.18;0.59;6.71;0.4;22;0.08;1.8;0.26;13.3;0.2;0.014;0.08;3.9;4.6;0.01;26;36.3;8.36;11.6;3.8;80;1;3.4;0.024;0.07;0.47;0.5;0.5;51.3;0.77;0.025;11.3;0.366;0.03;3;50;3.4;1;11;5.4
RC-000775;991665.770;1103162.71;683.52;Brecha;Productiva;ME-MS61;0.01;8.54;2.6;40;0.44;0.07;0.29;0.39;6.77;0.6;33;0.06;2.1;0.25;13.55;0.2;0.022;0.05;4.2;3;0.03;39;11.65;8.35;18.2;3.3;160;0.8;1.5;0.005;0.11;0.86;0.6;0.5;57.7;1.2;0.025;9.23;0.5;0.03;2.4;44;2.5;1.3;6;5.6
RC-000776;991663.940;1103162.58;681.68;Brecha;Productiva;ME-MS61;0.005;9.05;1.7;50;0.53;0.04;0.24;0.36;6.1;0.4;35;0.2;1.7;0.35;14.5;0.2;0.031;0.24;3.3;12;0.02;42;23.4;7.92;12.9;3.6;150;0.9;11.1;0.015;0.06;0.52;1.6;0.5;51.4;0.85;0.025;8.55;0.382;0.08;2.5;113;2.5;1.2;14;5
RC-000777;991662.460;1103162.48;680.2;Brecha;Productiva;ME-MS61;0.01;8.81;2;40;0.5;0.01;0.25;0.39;4.69;0.5;29;0.11;1.1;0.39;13.25;0.2;0.024;0.13;2.7;3;0.01;55;24.5;8.07;12.3;4;110;0.8;5.8;0.018;0.08;0.45;0.9;0.5;50.6;0.79;0.025;6.72;0.401;0.05;2.2;75;2.2;1.3;13;5.5
